,Country,Review Title,Review Text,year_posted,month_posted,month_ex,year_ex,review count,rating,rating_group
0,US,A Store That Doesn't Want to Sell Anything,"I registered on the website, tried to order a laptop, entered all the details, but instead of charging me and sending the product, they froze my account, demanding various verification documents. I sent them over. They said they would review them within 24 hours. In reality, it's been a week, and no one can help or give any (truthful) estimate of when it will be resolved; they just tell me to 'wait.' I've never seen such a horrible marketplace in my life. I hope those who came up with this can't buy food in a store, receiving a 'document review request' that takes forever to process.",2024,09,September,2024,1.0,1.0,low
1,GB,Had multiple orders one turned up and…,"Had multiple orders one turned up and driver had to phone as no door number on packaging, then waited all day for second package to get a message saying couldn't deliver as no number on packaging, 12 hours waiting in now don't even know when I'm getting delivery. Terrible will never use again",2024,09,September,2024,9.0,1.0,low
2,GB,I informed these reprobates,"I informed these reprobates that I WOULD NOT BE IN as I was going to visit a sick relative, they told me they were going to send a OTP, I told them I could not receive it as I was travelling a long way on the underground, their reply was don’t worry we can text. I pointed out I can’t receive texts EITHER!!They said parcel was on its way so couldn’t stop it. I pointed out I WOULD NOT WANT IT as, I had PERMANENTLY CLOSED my account!The driver came whilst I was out and failed to even follow my settings info that said to deliver to a specific neighbour if I was out, since then my account has now been deleted",2024,09,September,2024,90.0,1.0,low
3,AU,Advertise one price then increase it on website,I have bought from Amazon before and no problems being very happy with the service and price. Amazon advertise the product at 61.23 us as soon as I logged in and tried to buy two of the items they were 86.75 for each.There is no way of contacting customer service I've spent an hour going round and round in circles. Very disappointing. I would leave a negative star review for the customer service and what I consider to be really poor advertising. ,2024,09,September,2024,5.0,1.0,low
4,GB,If I could give a lower rate I would,If I could give a lower rate I would! I cancelled my Amazon Prime in February and subsequently found that they had continued to charge me. When I contacted them they refused to give details of who had set up the payment as I didn't have Prime membership at that time. My credit card company cancelled the payment for me and refunded the payments made in June. I have just discovered that Amazon Prime has set up payments again without me being a Prime member!! I have had to cancel my credit card to stop them!!Do not trust Amazon Prime. ,2024,09,September,2024,8.0,1.0,low
5,US,"Terrible, I had to hang up and call back ","Terrible you get customer service reps that are clearly home, you hear children and family scenarios in the background. These people lie when asked if they have a quiet environment to work in and I get minimal help if they speak English well enough.",2024,09,August,2024,4.0,1.0,low
6,US,Yet again ,"Amazon has a way of tainting a great product due to their inability to separate used goods from the new. I received a great name blush today that was so obviously used. I can’t even fathom why Amazon does this and it is done often so it is not a mistake. I wish I could send you pictures of the product I received, and Amazon wants you to purchase Prime…Oh yeah ",2024,09,September,2024,30.0,1.0,low
7,US,I love amazon,"I love amazon! I use it for half my shopping. The prime membership is worth it as you can receive free 2-day shipping on most purchases. The online store also has almost anything you can think of ranging from toiletries, clothes, to electronics and furniture!",2024,09,September,2024,2.0,5.0,high
8,GB,I applied for a job with Amazon,"I applied for a job with Amazon. I completed all the steps (including sending confidential data and personal information), when I attended the 'Pre-hire appointment' at the scheduled time, no one was on the other end of the video call!So I tried to speak to someone at Amazon to reschedule this, but due to language barriers with the Amazon call handlers, this has been very difficult.Why can't you lot have a phone call interview?? It really is the utmost rudeness when I have sent everything Amazon asked for, promptly and fully, and your recruitment team can't even answer a video call at the scheduled time?? And why can't I get through to speak to someone who can understand what I'm saying? I'm about to withdraw my application, if the recruitment process is this disorganised then I hate to think what the job's like!",2024,09,September,2024,1.0,1.0,low
9,US,I had a great experience with their…,I had a great experience with their customer service. They delivered my order to wrong address but didnt give me hassle of finding the item. Instead they said they will take care of it and replaced my order.,2024,09,September,2024,3.0,5.0,high
10,JP,Every time there is a problem,"Every time there is a problem, they fix it. I have no idea why Amazon is so poorly rated here, because they provide incredible customer service and support.",2024,09,September,2024,3.0,5.0,high
11,GB,Amazon aggressive marketing is counter productive,"I have no interest in signing up to Amazon Prime, When making a purchase, despite clicking the button not to sign me up, I could not stop Amazon from providing a 30 day free trial. I followed the instructions to remove the trial without success as the instructions took me to a page where there was no evident way to proceed with the cancellation. ",2024,09,September,2024,1.0,1.0,low
12,US,Bad experience trying to buy a Pitboss Grill,"Bought a Pitboss kc grill combo and received one that was previously opened and was damaged, tried to file for a return immediately and received intimation that i would have to take it into a Pitboss service center (nearly 140 miles) away. Nasty service from such an highly respected company. ",2024,09,September,2024,2.0,2.0,low
13,US,Sadly,"Sadly, Amazon no longer provides the quality customer service they once did. I've had several orders never delivered and they always ask if I ""checked neighbor's homes"" etc. This is not my responsibility. My last missing order actually says the driver handed it to the resident. I live alone and was at work at the time of the delivery. They insisted that I need to wait another 24 hours to see if it mysteriously shows up. If it was still coming why do I have a tracking that says the delivery was handed to me? They are also very inconsistent with delivery times. When you call customer service they just don't care. This company is not standing behind its products or deliveries. It's time another company jumps in the game with good customer service.",2024,09,September,2024,1.0,1.0,low
14,GB,Extremely disappointed in the customer…,"Extremely disappointed in the customer service provided by the driver in van LC21 XBN at approximately 1.30pm today. I suggest that you review the van's footage on how he verbally assaulted me by calling me an fxxking bxxxh as a result of him causing an obstruction in a residential street and being asked to move. I have spoken to the customer service team, but my expectation of this being treated as a serious complaint is low.",2024,09,September,2024,4.0,1.0,low
15,GB,Right shambles,My bank card froze only with amazon so couldn't order anything.Package said delivered at the post office when it hasn't been.Spoke to customer services about my card and he was very short with me and patronising when he was telling me how to take my bank card off then re add it. ,2024,09,September,2024,12.0,1.0,low
