Country,Review Text,year_posted,month_posted,month_ex,year_ex,review count,rating,rating_binary,Country_grouped
US,"I registered on the website, tried to order a laptop, entered all the details, but instead of charging me and sending the product, they froze my account, demanding various verification documents. I sent them over. They said they would review them within 24 hours. In reality, it's been a week, and no one can help or give any (truthful) estimate of when it will be resolved; they just tell me to 'wait.' I've never seen such a horrible marketplace in my life. I hope those who came up with this can't buy food in a store, receiving a 'document review request' that takes forever to process.",2024,9,September,2024,1,1,0,US
GB,"Had multiple orders one turned up and driver had to phone as no door number on packaging, then waited all day for second package to get a message saying couldn't deliver as no number on packaging, 12 hours waiting in now don't even know when I'm getting delivery. Terrible will never use again",2024,9,September,2024,9,1,0,GB
GB,"I informed these reprobates that I WOULD NOT BE IN as I was going to visit a sick relative, they told me they were going to send a OTP, I told them I could not receive it as I was travelling a long way on the underground, their reply was don’t worry we can text. I pointed out I can’t receive texts EITHER!!They said parcel was on its way so couldn’t stop it. I pointed out I WOULD NOT WANT IT as, I had PERMANENTLY CLOSED my account!The driver came whilst I was out and failed to even follow my settings info that said to deliver to a specific neighbour if I was out, since then my account has now been deleted",2024,9,September,2024,90,1,0,GB
AU,I have bought from Amazon before and no problems being very happy with the service and price. Amazon advertise the product at 61.23 us as soon as I logged in and tried to buy two of the items they were 86.75 for each.There is no way of contacting customer service I've spent an hour going round and round in circles. Very disappointing. I would leave a negative star review for the customer service and what I consider to be really poor advertising. ,2024,9,September,2024,5,1,0,Other
GB,If I could give a lower rate I would! I cancelled my Amazon Prime in February and subsequently found that they had continued to charge me. When I contacted them they refused to give details of who had set up the payment as I didn't have Prime membership at that time. My credit card company cancelled the payment for me and refunded the payments made in June. I have just discovered that Amazon Prime has set up payments again without me being a Prime member!! I have had to cancel my credit card to stop them!!Do not trust Amazon Prime. ,2024,9,September,2024,8,1,0,GB
US,"Terrible you get customer service reps that are clearly home, you hear children and family scenarios in the background. These people lie when asked if they have a quiet environment to work in and I get minimal help if they speak English well enough.",2024,9,August,2024,4,1,0,US
US,"Amazon has a way of tainting a great product due to their inability to separate used goods from the new. I received a great name blush today that was so obviously used. I can’t even fathom why Amazon does this and it is done often so it is not a mistake. I wish I could send you pictures of the product I received, and Amazon wants you to purchase Prime…Oh yeah ",2024,9,September,2024,30,1,0,US
US,"I love amazon! I use it for half my shopping. The prime membership is worth it as you can receive free 2-day shipping on most purchases. The online store also has almost anything you can think of ranging from toiletries, clothes, to electronics and furniture!",2024,9,September,2024,2,5,1,US
GB,"I applied for a job with Amazon. I completed all the steps (including sending confidential data and personal information), when I attended the 'Pre-hire appointment' at the scheduled time, no one was on the other end of the video call!So I tried to speak to someone at Amazon to reschedule this, but due to language barriers with the Amazon call handlers, this has been very difficult.Why can't you lot have a phone call interview?? It really is the utmost rudeness when I have sent everything Amazon asked for, promptly and fully, and your recruitment team can't even answer a video call at the scheduled time?? And why can't I get through to speak to someone who can understand what I'm saying? I'm about to withdraw my application, if the recruitment process is this disorganised then I hate to think what the job's like!",2024,9,September,2024,1,1,0,GB
US,I had a great experience with their customer service. They delivered my order to wrong address but didnt give me hassle of finding the item. Instead they said they will take care of it and replaced my order.,2024,9,September,2024,3,5,1,US
JP,"Every time there is a problem, they fix it. I have no idea why Amazon is so poorly rated here, because they provide incredible customer service and support.",2024,9,September,2024,3,5,1,Other
GB,"I have no interest in signing up to Amazon Prime, When making a purchase, despite clicking the button not to sign me up, I could not stop Amazon from providing a 30 day free trial. I followed the instructions to remove the trial without success as the instructions took me to a page where there was no evident way to proceed with the cancellation. ",2024,9,September,2024,1,1,0,GB
US,"Bought a Pitboss kc grill combo and received one that was previously opened and was damaged, tried to file for a return immediately and received intimation that i would have to take it into a Pitboss service center (nearly 140 miles) away. Nasty service from such an highly respected company. ",2024,9,September,2024,2,2,0,US
US,"Sadly, Amazon no longer provides the quality customer service they once did. I've had several orders never delivered and they always ask if I ""checked neighbor's homes"" etc. This is not my responsibility. My last missing order actually says the driver handed it to the resident. I live alone and was at work at the time of the delivery. They insisted that I need to wait another 24 hours to see if it mysteriously shows up. If it was still coming why do I have a tracking that says the delivery was handed to me? They are also very inconsistent with delivery times. When you call customer service they just don't care. This company is not standing behind its products or deliveries. It's time another company jumps in the game with good customer service.",2024,9,September,2024,1,1,0,US
GB,"Extremely disappointed in the customer service provided by the driver in van LC21 XBN at approximately 1.30pm today. I suggest that you review the van's footage on how he verbally assaulted me by calling me an fxxking bxxxh as a result of him causing an obstruction in a residential street and being asked to move. I have spoken to the customer service team, but my expectation of this being treated as a serious complaint is low.",2024,9,September,2024,4,1,0,GB
GB,My bank card froze only with amazon so couldn't order anything.Package said delivered at the post office when it hasn't been.Spoke to customer services about my card and he was very short with me and patronising when he was telling me how to take my bank card off then re add it. ,2024,9,September,2024,12,1,0,GB
GB,"I put onw star because I can't leave a zero ...I ordered an item for £59.99.. it arrived on  time but wasnt suitable so I sent it back , it was refunded to my gift card account , which i didn't  request..however,  as I was going to order a replacement item I didnt realy question it as I was still going to spend the money ..The 2nd item arrived and was also not suitable ,  so I returned this as well.The refund has been at least 2 weeks now and I've still not received it,  but had an email saying it will be coming and going into my gift card account ...,This is not what I wanted , this is my money and after two phone calls lasting over an hour they're  all saying there's nothing they can do !!!!!. Amazon are fraudulently holding  my money ,, it should be refunded to my credit card but that say they won't/ cand do that..This is theft .Amazon has dropped lower than some dodgy market salesman ..",2024,9,September,2024,16,1,0,GB
CA,Once again my delivery is late with a message saying “we’re so sorry”.I’m so tired of this company lying about delivery times. Absolutely nothing shows up when it says it will. I’m starting not to think that prime is worth it. I can get free delivery pretty much anywhere.,2024,9,September,2024,1,1,0,CA
US,"Amazon is the GARBAGE company ! When it comes to refund ANAZIN WILL STEAL YOUR MONEY & GIVE YOU B.S They will escalate it to an appropriate team & itll take 2 business days for someone to get back but no one does ever. You call back again & they tell you the same B.S. If you complain they will transfer you from one dept to another until you’re tired. Amazon just doesn’t give money back for returned items. They’re the worst co when it comes to returns. They give you such a hard time, you don’t want to shop there again. ANAZON IS CROOK, DISHONEST, SHADY, LYING, MANIPULATING HARASSING COMPANY. Stay away and don’t give this billionaire owner to take advantage of you ",2024,9,September,2024,6,1,0,US
US,"I bought running boards for my Jeep and they sent me ones that have already been used so when I called them in what ever country their customer service in and was told they would be replaced, it took another week to get what I had already paid for... Now I have been trying for over a week to have the used ones picked up and they keep telling me they will get (NOT) I am on the phone with their co called customer service again trying to get this package picked up...",2024,9,September,2024,1,2,0,US
GB,"I think I'll be cancelling amazon prime after this latest debacle. Nothing seems to work in this hell hole of a country. I had previously given amazon a good review (which was taken down because I'm a computer program apparently) but since giving the good review, amazon have decided that they can get away providing a substandard service bringing them in line with rest of the detritus operating in Britain today. I am becoming very weary of on-line shopping in this country, it has become a time consuming nightmare and I have never once been offered compensation for the time stolen from me, as a result of their rank, and outright incompetence.",2024,9,September,2024,10,1,0,GB
GB,"Bought a AIMOONSA 64gb MP3 player. Previous had failed after several months use, this one has proved impossible to upload music.  Amazon REFUSE to allow myself to place a review of the product on their site, rather suggestive of the dubious company I've always thought Amazon to be",2024,9,September,2024,15,1,0,GB
US,"Amazon customer service has gone downhill for years... the latest thing these  ""customer service"" representatives are doing is tell you ""we can't help you so we're gonna terminate the call"" and then hang up. How is this customer service at all?",2024,9,September,2024,1,1,0,US
US,"amazon has continuously ripped of millions of people,promising 2 day,same day etc and cant perform.Then when you say something they want to give you 2 dollars for your two years worth of late or absent order,they are ridiculous .",2024,9,September,2024,2,1,0,US
US,"They lie about shipping times. Promising delivery on a specific day and never receiving it. items being lost or not shipped. Prime is also a joke. Making promises they can’t keep, and then being a jerk about it when you complain. ",2024,9,September,2024,1,1,0,US
US,"I ordered 200 dallors worth of items from Amazon. I reached out repeatedly for help being 1 product from my order was not delivered. The guy says they won't refund ( I'd just reorder it anyway duh I wanted it ) or replace it ( as well if you try this method online it requires you to send back original product ,if I did not ever receive the product , how do I send it back ?) in the matter of 10 minutes he did a through investigation and sees that it was delivered due to weight of package and stamp and whatnot. I feel UPS delivery guy made a mistake or Amazon didn't  package it for delivery in the first place.  But I'm out 71 dollars and am thinking twice about ordering from Amazon or shipping with UPS. ",2024,9,September,2024,1,1,0,US
ZA,"Customer service is very poor, with someone called ""Gene-an"" being very cheeky and straight up ending the support chat.",2024,9,September,2024,8,1,0,Other
GB,"No matter what you Write in your email request to Customer service , they will not read a word of it. The will send you machine generated garbage with couldn't help anyone.9 times in a row I emailed the same elaborate email. They came back with the same unhelpful garbage & obviously did not read my mail ",2024,9,September,2024,12,1,0,GB
GB,"Many orders completed with no issue. Needed a photo frame , located one, in stock,  but system flatly refused to deliver to any address or pick up and provided NO reason why. 45 minutes to find CS number - cut of twice, appaling lines, after another 45 minutes CS unable to identify issue fed up with being left on hold so ended call contacted the manufacturer direct, ordered the frame ( same price but paid a bit for delivery) and advised their sales team they could be losing sales due to Amazons system. How good any business model is is really identified and defined by how it deals with brand and customer support & issues. As a long time prime customer I am appalled at Amazons woeful system of uncontactable, cannot communicate with,  cannot understand, tick box customer support.. It is of the VERY worst kind.",2024,9,September,2024,20,2,0,GB
GB,"Amazon products are great but their customer service and delivery process are totally useless and worse for those functions than any other company that I know. My wife and myself have severe mobility problems and it is dangerous for us to try to pick deliveries from the floor of our front porch. Which is what we have to do when Amazon throws our parcel on the floor, take a picture and then run without even ringing the bell. It is not possible for me to complain on line and long winded calls to some customer service appears to be a complete waste of time without positive result.  It look like I will need to take my business elsewhere.",2024,9,September,2024,28,2,0,GB
US,Goodbye Amazon. You have also sent your customer service overseas and as usual it sucks. Our family is done with you. ,2024,9,September,2024,5,1,0,US
